#SN      Host Galaxy      Date         R.A.    Decl.    Offset   Mag.   Disc. Ref.            SN Position         Posn. Ref.       Type  SN      Discoverer(s)

1992ao  Anon.            1992 07 28  23 26.9 -81 53   54E  57N  17     IAUC 5573       23 26 52.99 -81 53 44.9   IAUC 5573              1992ao  McNaught
1992an  Anon.            1992 07 26  13 37.8 -30 41    6E   6N  18     IAUC 5571                                                  II    1992an  Antezana
1992am  Anon.            1992 07 26  01 25.0 -04 39   19W   1S  18.5   IAUC 5570                                                  II    1992am  Antezana
1992al  ESO 234-G69      1992 07 27  20 45.9 -51 24   18E  12S  16     IAUC 5569       20 45 56.49 -51 23 40.0   IAUC 5569        Ia    1992al  McNaught
1992ak  UGC 3862         1992 01 09  07 27.7 +20 23    0   45S  16.0   IAUC 5565       07 27 47.42 +20 23 31.8   IAUC 5565              1992ak  Moraru
1992aj  Anon.            1992 07 05  23 47.8 -35 12    9E   5N  17     IAUC 5564                                                  II    1992aj  Wischnjewsky
1992ai  Anon.            1992 07 05  01 29.1 -32 17    2W   7S  17.5   IAUC 5564       01 29 08.04 -32 16 30.0   AJ 112, 2408     Ia    1992ai  Antezana
1992ah  Anon.            1992 06 27  17 37.7 +12 54   25W   8S  17     IAUC 5559                                                  Ia    1992ah  Mueller
1992ag  ESO 508-G67      1992 06 29  13 24.2 -23 53    4W   0   16.5   IAUC 5555       13 24 10.12 -23 52 39.3   AJ 112, 2408     Ia    1992ag  Wischnjewsky
1992af  Anon.            1992 06 29  20 30.7 -42 19   10E   3S  17.5   IAUC 5554                                                        1992af  Antezana
1992ae  Anon.            1992 06 27  21 28.2 -61 33    3E   5N  18     IAUC 5554       21 28 17.66 -61 33 00.0   AJ 112, 2408     Ia    1992ae  Antezana
1992ad  NGC 4411         1992 07 01  12 26.8 +08 52   40E  40S  13.5   IAUC 5552       12 26 49.63 +08 52 38.4   IAUC 5552        II    1992ad  Evans
1992ac  MCG +10-24-7     1992 05 30  16 37.2 +58 10   13E   0   17     IAUC 5543                                                  Ia    1992ac  Gomez, Lopez, Rey, Catchpole
1992ab  NGC 6389         1992 06 01  17 32.7 +16 24   80E  20S  17     IAUC 5534       17 32 45.19 +16 23 45.9   IAUC 5652        II    1992ab  Mueller
1992aa  NGC 6464         1992 05 10  17 45.8 +60 54    0   11S  18     IAUC 5534       17 45 47.31 +60 53 39.0   IAUC 5652              1992aa  Mueller
1992Z   Anon.            1992 05 29  13 29.0 -30 00    3E   4N  19     IAUC 5533                                                  II    1992Z   Antezana
1992Y   NGC 3527         1992 05 02  11 07.2 +28 32   13E   6S  19     IAUC 5517                                                        1992Y   Mueller
1992X   Anon.            Foreground M dwarf                            IAUC 5517                                                        1992X   Mueller
1992W   Anon.            Foreground M dwarf                            IAUC 5517                                                        1992W   Mueller
1992V   Anon.            1992 04 22  12 34.7 +14 33   10E   8N  18.0   IAUC 5507       12 34 45.94 +14 33 34.9   IAUC 5507        Ia    1992V   Pollas
1992U   ESO 74-G04       1992 04 09  20 40.7 -70 41   18E   9N  18.5   IAUC 5499                                                  II    1992U   Antezana
1992T   Anon.            1992 04 09  13 43.0 -31 53    4E   6S  18     IAUC 5496                                                  II    1992T   Wischnjewsky
1992S   Anon.            1992 04 09  14 17.7 +31 03   15E   0   18.5   IAUC 5494       14 17 42.45 +31 02 59.9   IAUC 5494              1992S   Mueller
1992R   MCG +10-24-007   1992 04 08  16 37.1 +58 10   13E   4S  18     IAUC 5494                                                  I     1992R   Mueller
1992Q   Anon.            1992 04 07  12 11.1 -01 53    5W  11S  18.5   IAUC 5494       12 11 01.62 -01 52 50.7   IAUC 5494              1992Q   Mueller
1992P   IC 3690          1992 04 03  12 42.8 +10 22    6W  11N  16.2   IAUC 5491       12 42 48.95 +10 21 37.5   AJ 112, 2408     Ia    1992P   Antezana
1992O   Anon.            1992 03 10  19 23.7 -62 49    7W   1N  17.8   IAUC 5476       19 23 42.29 -62 49 30.1   AJ 112, 2408     Ia    1992O   Antezana
1992N   IC 4831          1992 03 10  19 14.8 -62 16   94E  43S  19     IAUC 5475                                                  II    1992N   Antezana
1992M   Anon.            1992 02 25  07 15.6 +45 25    3W   7S  18     IAUC 5473                                                  Ia    1992M   Mueller
1992L   Anon.            1992 03 03  07 35.7 -47 17    6W   5S  20     IAUC 5469       07 35 36.32 -47 16 51.0   IAUC 5469              1992L   McNaught
1992K   Anon.            1992 03 03  13 10.1 -46 26    2W  14S  16.2   IAUC 5468       13 10 04.20 -46 26 30.3   AJ 112, 2408     Ia-p  1992K   Antezana
1992J   Anon.            1992 03 03  10 09.0 -26 39   11W  13N  18.4   IAUC 5467       10 09 00.30 -26 38 24.4   AJ 112, 2408     Ia    1992J   Wischnjewsky
1992I   NGC 2565         1992 02 29  08 19.7 +22 02   28W   7N  18     IAUC 5464       08 19 46.30 +22 01 59.9   IAUC 5464        II    1992I   Buil
1992H   NGC 5377         1992 02 11  13 56.3 +47 14   57E  19N  15     IAUC 5456                                                  II    1992H   Wren
1992G   NGC 3294         1992 02 09  10 36.3 +37 19   27E  10S  14     IAUC 5452       10 36 18.51 +37 19 13.9   IAUC 5452        Ia    1992G   Sasaki
1992F   Anon.            1992 02 02  11 25.4 +56 37    3W   4N  19     IAUC 5446       11 25 23.90 +56 36 03.0   IAUC 5446              1992F   Pollas, Albinese
1992E   Anon.            1992 01 27  06 35.3 -59 57    3E   2N  20     IAUC 5446       06 35 17.12 -59 56 02.8   IAUC 5446        Ia    1992E   McNaught, Drinkwater
1992D   Anon.            1992 01 28  06 00.9 -20 22    1W   7S  19     IAUC 5444       06 00 59.87 -20 22 08.8   IAUC 5444        IIp   1992D   McNaught, Drinkwater
1992C   NGC 3367         1992 01 28  10 46.6 +13 45   27E  28S  16.5   IAUC 5440                                                  II    1992C   Van Winckel
1992B   Anon.            1992 01 14  11 16.2 +55 30   13E   4N  16.5   IAUC 5437       11 16 09.95 +55 29 30.6   IAUC 5437        Ia    1992B   Pollas
1992A   NGC 1380         1992 01 11  03 36.4 -34 57    3W  62N  12.8   IAUC 5428       03 36 27.43 -34 57 31.5   IAUC 5428        Ia    1992A   Liller, Brown

1991bl  Anon.            1991 07 05  18 12.3 +68 59    3W   0   17.5   IAUC 5845       18 12 17.53 +68 59 08.4   IAUC 5845              1991bl  Pollas
1991bk  IC 3029          1991 04 15  12 10.8 +13 19    5E   7S  18.5   IAUC 5473       12 10 42.15 +13 19 45.7   IAUC 5473              1991bk  Pollas
1991bj  IC 344           1991 12 30  03 41.5 -04 39   14E   8N  18.8   IAUC 5420       03 41 30.48 -04 39 49.6   IAUC 5420        Ia    1991bj  Pollas
1991bi  NGC 5127         1991 12 13  13 23.7 +31 33   13W   6S  18.5   IAUC 5404       13 23 43.98 +31 33 51.1   IAUC 5405        Ia    1991bi  Pollas
1991bh  Anon.            1991 12 07  02 45.1 +15 10    5E  17S  18     IAUC 5401                                                  Ia    1991bh  Mueller
1991bg  NGC 4374         1991 12 03  12 25.0 +12 52   20E  80S  14     IAUC 5400       12 25 03.71 +12 52 15.8   IAUC 5400        Ia-p  1991bg  Kushida
1991bf  MCG -05-56-027   1991 11 13  23 52.3 -29 26   12W  23N  17.5   IAUC 5389       23 52 15.37 -29 26 29.1   IAUC 5389              1991bf  McNaught
1991be  Anon.            1991 11 07  21 33.3 -42 13    7W   1S  18.5   IAUC 5382       21 33 14.38 -42 12 45.7   IAUC 5382              1991be  McNaught
1991bd  UGC 2936         1991 10 12  04 02.8 +01 58   21E  30N  17     IAUC 5367       04 02 49.66 +01 58 26.4   IAUC 5367        Ia    1991bd  McNaught
1991bc  UGC 2691         1991 10 12  03 20.7 -01 03    5E   6S  16     IAUC 5366       03 20 45.66 -01 02 47.1   IAUC 5366        Ia    1991bc  McNaught
1991bb  UGC 2892         1991 10 13  03 53.6 +19 06    9E   2N  18     IAUC 5365                                                  Ia    1991bb  Mueller
1991ba  ESO 244-IG32     1991 10 02  01 30.8 -42 28    1W  11N  18.5   IAUC 5358       01 30 46.91 -42 27 32.0   IAUC 5358        II    1991ba  McNaught
1991az  Anon.            1991 09 15  02 25.3 +24 16   10W   3S  18     IAUC 5356                                                  II    1991az  Mueller
1991ay  Anon.            1991 09 09  00 47.4 +40 32    0    5S  18.5   IAUC 5352       00 47 18.98 +40 32 27.8   IAUC 5352        Ia    1991ay  Pollas
1991ax  Anon.            1991 09 15  03 05.2 -41 46   11W   1N  16.5   IAUC 5349       03 05 12.23 -41 46 10.0   IAUC 5349        II    1991ax  McNaught
1991aw  Anon.            1991 09 04  17 42.2 +67 29    2W   9N  20     IAUC 5340       17 42 13.53 +67 29 12.0   IAUC 5340              1991aw  Pollas
1991av  Anon.            1991 09 04  21 56.1 +01 00    7E   5N  18     IAUC 5338       21 56 01.7  +00 59 54     IAUC 5338        II    1991av  Mueller
1991au  UGC 11616        1991 09 01  20 41.2 +63 30   14W   2S  18.5   IAUC 5336                                                  II?   1991au  Mueller
1991at  UGC 733          1991 08 19  01 10.7 +16 36  a20E  34N  18     IAUC 5336                                                  Ia  I 1991at  Mueller
1991as  Anon.            1991 08 19  22 48.7 +08 11    9E  13S  18     IAUC 5336                                                  Ia    1991as  Mueller
1991ar  IC 49            1991 09 02  00 44.0 +01 51    8E  12N  17     IAUC 5334       00 43 56.72 +01 51 13.4   IAUC 5334        Ib    1991ar  McNaught, Russell
1991aq  Anon.            1991 08 18  01 52.6 -81 38    5W  11S  18     IAUC 5331       01 52 39.7  -81 38 03.4   IAUC 5331              1991aq  McNaught, McKenzie
1991ap  Anon.            QSO                                           IAUC 5327       00 18 23.57 +32 01 11.1   IAUC 5327              1991ap  Pollas
1991ao  UGC 270          1991 08 16  00 27.9 +32 47   13W  11N  17.8   IAUC 5327       00 27 56.40 +32 46 41.7   IAUC 5327        II    1991ao  Pollas
1991an  Anon.            1991 06 08  17 39.2 +67 42    6W   4N  20.3   IAUC 5317       17 39 09.57 +67 42 28.9   IAUC 5317              1991an  Pollas
1991am  MCG +06-37-6     1991 07 14  16 41.9 +37 44    4E   6N  19     IAUC 5312       16 41 50.72 +37 44 11.0   IAUC 5312        Ia    1991am  Pollas
1991al  Anon.            1991 07 16  19 42.3 -55 06   17E   5S  16     IAUC 5310       19 42 24.06 -55 06 23.6   IAUC 5334        II    1991al  Wischnjewsky
1991ak  NGC 5378         1991 07 15  13 56.8 +37 47   28W  19S  15.5   IAUC 5309       13 56 48.61 +37 47 31.6   IAUC 5309        Ia    1991ak  Wild
1991aj  MCG +07-34-084   1991 07 03  16 29.7 +41 47    5E   2N  18.0   IAUC 5300       16 29 44.89 +41 46 42.9   IAUC 5300        Ia    1991aj  Pollas
1991ai  IC 4434          1991 07 02  14 27.9 +16 13    7E   5S  18.5   IAUC 5298       14 27 55.18 +16 12 20.4   IAUC 5298        Ia    1991ai  Pollas
1991ah  Anon.            1991 06 09  22 10.1 -46 19    5W   6N  18.5   IAUC 5290                                                  II    1991ah  Antezana
1991ag  IC 4919          1991 06 09  20 00.2 -55 23   10W  33N  15     IAUC 5287       20 00 08.60 -55 22 03.2   IAUC 5334        Ia    1991ag  Antezana
1991af  Anon.            1991 05 19  17 27.0 +29 29    7E   3S  18.5   IAUC 5282                                                  Ia    1991af  Mueller
1991ae  MCG +11-19-18    1991 05 17  15 48.6 +68 06    2W   8N  18     IAUC 5282                                                  IIp   1991ae  Mueller
1991ad  Anon.            1991 05 13  16 19.4 +17 39   11E   2N  18.5   IAUC 5271                                                  Ia    1991ad  Mueller
1991ac  Anon.            1991 01 26  13 01.3 +29 11    5W   1N  18.5   IAUC 5270       13 01 19.24 +29 11 00.0   IAUC 5270              1991ac  Pollas
1991ab  Anon.            1991 05 08  13 59.4 +19 41    8E  11N  19.5   IAUC 5267       13 59 21.68 +19 41 06.6   IAUC 5267        Ia    1991ab  Pollas
1991aa  Anon.            1991 05 07  12 45.2 -06 19   13E   5S  16     IAUC 5263       12 45 09.84 -06 19 02.1   IAUC 5263        Ia    1991aa  McNaught
1991Z   Anon.            1991 05 06  10 54.6 -04 12   10E   4N  20     IAUC 5261       10 54 40.50 -04 12 28.8   IAUC 5261              1991Z   McNaught
1991Y   Anon.            1991 04 17  17 14.6 +57 19    0    7N  19     IAUC 5259                                                        1991Y   Mueller
1991X   NGC 4902         1991 05 05  13 01.0 -14 30   14E  11N  13.7   IAUC 5258       13 01 00.73 -14 30 38.1   IAUC 5258        Ia    1991X   Evans
1991W   IC 4425          Foreground star (IAUC 5270)                   IAUC 5258                                                        1991W   Mueller
1991V   IC 4508          1991 04 17  14 47.8 +31 47    0   14S  18.5   IAUC 5258                                                        1991V   Mueller
1991U   IC 4232          1991 04 18  13 23.4 -26 07    3W   6N  16     IAUC 5247       13 23 22.20 -26 06 28.7   AJ 112, 2408     Ia    1991U   Antezana
1991T   NGC 4527         1991 04 13  12 34.2 +02 39   26E  44N  13     IAUC 5239       12 34 10.21 +02 39 56.6   IAUC 5239        Ia-p  1991T   Knight; Evans; Villi, Cortini; Johnson
1991S   UGC 5691         1991 04 10  10 29.4 +22 01    5E  18N  17.5   IAUC 5238       10 29 27.79 +22 00 46.4   AJ 112, 2408     Ia?   1991S   Antezana
1991R   Anon.            1991 04 09  15 54.9 +19 00    6W   9S  18     IAUC 5237       15 54 53.53 +19 00 43.9   IAUC 5237        Ib/c  1991R   McNaught
1991Q   NGC 4926         1991 01 26  13 02.1 +27 39    6W   2N  18     IAUC 5237       13 02 07.63 +27 38 56.1   IAUC 5237              1991Q   Pollas
1991P   Anon.            1991 04 10  13 18.1 -15 18    8E   9S  20     IAUC 5235                                                  II    1991P   Raychaudhury, Williger
1991O   Anon.            1991 03 18  14 24.7 +65 45   10E   5N  18     IAUC 5233       14 24 40.0  +65 45 36.7   IAUC 5233        Ia    1991O   Mueller
1991N   NGC 3310         1991 03 29  10 38.8 +53 30    5E   7S  15     IAUC 5227       10 38 46.37 +53 30 04.7   AJ 111, 2017     Ic/b  1991N   Perlmutter, Pennypacker, et al.
1991M   IC 1151          1991 03 12  15 58.6 +17 26   36E  60N  15     IAUC 5207       15 58 34.83 +17 27 28.7   IAUC 5239        Ia    1991M   Pennypacker, Perlmutter, et al.
1991L   MCG +07-34-134   1991 02 24  16 41.2 +39 17    2W   8N  18     IAUC 5200       16 41 15.03 +39 17 32.6   IAUC 5200        Ib/c  1991L   Pollas
1991K   NGC 2851         1991 02 20  09 20.6 -16 31    5E  19S  16.5   IAUC 5196       09 20 30.46 -16 30 01.8   IAUC 5196        Ib    1991K   McNaught
1991J   NGC 5020         1991 02 19  13 12.7 +12 36   34W  56S  17     IAUC 5196                                                        1991J   Mueller
1991I   Anon.            1991 02 14  05 26.4 -52 14    0    1N  18.5   IAUC 5191       05 26 25.62 -52 13 33.0   IAUC 5191              1991I   McNaught
1991H   Anon.            1991 02 12  12 58.9 -10 44    2W  11S  17.5   IAUC 5188       12 58 54.12 -10 44 02.1   IAUC 5188        II    1991H   McNaught
1991G   NGC 4088         1991 02 10  12 05.5 +50 31   37W  13S  17     IAUC 5188       12 05 28.85 +50 32 11.7   AJ 111, 2017     II    1991G   Mueller
1991F   NGC 3458         1991 02 10  10 56.1 +57 08   13E  12S  18     IAUC 5188                                                  I     1991F   Mueller
1991E   Anon.            1991 02 07  06 34.3 -65 33    6E   5N  19     IAUC 5185       06 34 23.44 -65 33 08.6   IAUC 5185        II    1991E   McNaught
1991D   Anon.            1991 02 06  13 41.2 -14 39   10E   5S  16.5   IAUC 5182                                                  Ib    1991D   Remillard, Brissenden, Halpern, Eracleous
1991C   Anon.            1991 01 15  11 32.7 +05 21    5E   5S  18     IAUC 5167                                                  II    1991C   Mueller
1991B   NGC 5426         1991 01 11  14 03.4 -06 04   10W  20S  16     IAUC 5163                                                  Ia    1991B   Perlmutter, Pennypacker, et al.
1991A   IC 2973          1991 01 01  11 53.9 +33 22   28E  10S  18     IAUC 5153                                                  Ic-p  1991A   Pennypacker, Perlmutter, et al.

1990al  Anon.            1990 07 19  19 09.9 +42 32   12E  15N  16.5   IAUC 7189       19 09 56.64 +42 31 41.7   IAUC 7189              1990al  Mueller
1990ak  Anon.            1990 05 01  13 24.9 -32 26    1W  11S  18     IAUC 5682       13 24 54.92 -32 25 25.9   IAUC 5682              1990ak  McNaught
1990aj  NGC 1640         1990 12 18  04 42.3 -20 25   10E  47N  18     IAUC 5178       04 42 15.31 -20 25 18.0   IAUC 5178        Ib    1990aj  McNaught
1990ai  Anon.            1990 11 26  07 20.2 +21 54             19.5   IAUC 5147       07 20 10.39 +21 54 20.0   IAUC 5147        Ib/c  1990ai  Pollas
1990ah  UGC 249          1990 12 07  00 26.2 +13 39    3E   8N  18     IAUC 5146       00 26 10.42 +13 39 20.4   IAUC 5146        II?   1990ah  Pollas
1990ag  Anon.            1990 11 26  07 32.8 +32 55    0    5S  19     IAUC 5141       07 32 49.36 +32 54 15.3   IAUC 5141        IIp   1990ag  Pollas
1990af  Anon.            1990 10 24  21 35.0 -62 45    7W   7N  17     IAUC 5124       21 34 58.12 -62 44 07.4   AJ 112, 2408     Ia    1990af  Antezana
1990ae  Anon.            1990 10 15  00 22.9 +06 50   13E   0   18     IAUC 5119                                                  II    1990ae  Mueller, Mendenhall
1990ad  Anon.            1990 10 09  22 42.7 +01 18    5W   3N  19.5   IAUC 5117       22 42 38.91 +01 18 07.9   IAUC 5117        II?   1990ad  McNaught, Hartley
1990ac  Anon.            1990 09 23  03 53.1 -29 44    1W   6N  18     IAUC 5101       03 53 09.26 -29 44 37.9   IAUC 5101        Ia    1990ac  McNaught, McKenzie
1990ab  Anon.            1990 09 20  21 54.1 -40 04    4E   9S  18     IAUC 5096       21 54 04.00 -40 04 16.1   IAUC 5096        Ia    1990ab  McNaught
1990aa  UGC 540          1990 09 04  00 52.9 +29 01   12E   8S  17     IAUC 5087                                                  Ic    1990aa  Perlmutter, Pennypacker, et al.
1990Z   UGC 12133        1990 08 21  22 39.5 +08 38   26W  30S  19     IAUC 5082                                                        1990Z   Mueller
1990Y   Anon.            1990 08 22  03 37.4 -33 02    1E   5S  18     IAUC 5080       03 37 22.64 -33 02 40.1   AJ 112, 2408           1990Y   Wischnjewsky
1990X   UGC 12565        1990 08 17  23 22.8 +23 12   12W  20S  19     IAUC 5076                                                  II    1990X   Pollas
